Country,Year,Energy Consumption
Canada,1990,9.654
Mexico,1990,13.208471138873564
US,1990,400.8227462365591
Total North America,1990,423.68521737543267
Argentina,1990,19.84969690706507
Brazil,1990,0.32561199999999996
Other S. & Cent. America,1990,26.82402172949765
Total S. & Cent. America,1990,46.99933063656272
France,1990,3.027
Germany,1990,35.9
Italy,1990,39.082
Netherlands,1990,36.529
Poland,1990,0.125
Spain,1990,1.5090000000000001
Turkey,1990,10.1923
Ukraine,1990,49.889
United Kingdom,1990,4.998
Other Europe,1990,72.63802810000003
Total Europe,1990,253.88932810000003
Kazakhstan,1990,9.138
Russian Federation,1990,511.6158394006289
Other CIS,1990,110.35963399999999
Total CIS,1990,631.1134734006289
Iran,1990,30.322031210419023
Saudi Arabia,1990,40.728552214633574
United Arab Emirates,1990,17.07958167867435
Other Middle East,1990,31.320000000000004
Total Middle East,1990,119.45016510372696
Egypt,1990,16.446
South Africa,1990,0.0
Other Africa,1990,26.2
Total Africa,1990,42.646
Australia,1990,12.5655
China,1990,2.771
India,1990,9.958
Indonesia,1990,3.4007600000000004
Japan,1990,172.93030706938
Malaysia,1990,5.54
South Korea,1990,12.392570000000003
Taiwan,1990,1.2033230719999999
Thailand,1990,17.765060000000002
Vietnam,1990,0.006
Other Asia Pacific,1990,32.41298201283066
Total Asia Pacific,1990,270.9455021542106
Canada,1991,8.622
Mexico,1991,18.932141965718777
US,1991,410.27206129032254
Total North America,1991,437.8262032560413
Argentina,1991,20.967008294148986
Brazil,1991,0.373
Other S. & Cent. America,1991,28.29232843450401
Total S. & Cent. America,1991,49.63233672865301
France,1991,3.0540000000000003
Germany,1991,36.3
Italy,1991,35.87
Netherlands,1991,41.015
Poland,1991,0.107
Spain,1991,1.361
Turkey,1991,12.588600000000001
Ukraine,1991,46.431000000000004
United Kingdom,1991,5.824
Other Europe,1991,69.93308269102295
Total Europe,1991,252.48368269102292
Kazakhstan,1991,8.641211238576359
Russian Federation,1991,501.3111227131217
Other CIS,1991,104.82415560000003
Total CIS,1991,614.776489551698
Iran,1991,35.00195661200582
Saudi Arabia,1991,42.75567661534177
United Arab Emirates,1991,17.22055927233429
Other Middle East,1991,24.719000000000005
Total Middle East,1991,119.69719249968189
Egypt,1991,20.4065
South Africa,1991,0.0
Other Africa,1991,25.205000000000002
Total Africa,1991,45.61150000000001
Australia,1991,11.2025
China,1991,2.4290000000000003
India,1991,13.355
Indonesia,1991,4.34982
Japan,1991,184.34411241894432
Malaysia,1991,7.726
South Korea,1991,13.210645000000008
Taiwan,1991,2.870400224
Thailand,1991,19.051186
Vietnam,1991,0.035
Other Asia Pacific,1991,35.546156025862096
Total Asia Pacific,1991,294.1198196688065
Canada,1992,13.122
Mexico,1992,18.775942203288118
US,1992,434.4885720430107
Total North America,1992,466.3865142462989
Argentina,1992,20.79502014037241
Brazil,1992,0.39
Other S. & Cent. America,1992,29.486246445351526
Total S. & Cent. America,1992,50.67126658572394
France,1992,3.185
Germany,1992,33.0
Italy,1992,35.168
Netherlands,1992,43.462
Poland,1992,0.1
Spain,1992,1.711
Turkey,1992,10.8137
Ukraine,1992,42.235
United Kingdom,1992,12.583
Other Europe,1992,61.51459832196409
Total Europe,1992,243.7722983219641
Kazakhstan,1992,8.735418671826993
Russian Federation,1992,460.18742992922483
Other CIS,1992,99.5216334
Total CIS,1992,568.4444820010518
Iran,1992,37.15930312104667
Saudi Arabia,1992,43.896796413754295
United Arab Emirates,1992,18.687449481268015
Other Middle East,1992,34.549
Total Middle East,1992,134.29254901606896
Egypt,1992,22.9445
South Africa,1992,0.0
Other Africa,1992,27.600000000000005
Total Africa,1992,50.5445
Australia,1992,11.964
China,1992,2.467
India,1992,16.258
Indonesia,1992,3.24939
Japan,1992,184.15915699386264
Malaysia,1992,12.672108006446951
South Korea,1992,19.538756000000006
Taiwan,1992,3.021075696
Thailand,1992,22.94304
Vietnam,1992,0.006
Other Asia Pacific,1992,38.03856711123617
Total Asia Pacific,1992,314.3170938075458
Canada,1993,15.299
Mexico,1993,19.067332403378067
US,1993,446.15784731182794
Total North America,1993,480.524179715206
Argentina,1993,21.994476657137437
Brazil,1993,0.388
Other S. & Cent. America,1993,31.576770467575194
Total S. & Cent. America,1993,53.959247124712626
France,1993,3.496
Germany,1993,32.8
Italy,1993,39.596000000000004
Netherlands,1993,44.121
Poland,1993,0.097
Spain,1993,1.196
Turkey,1993,10.788200000000002
Ukraine,1993,38.888
United Kingdom,1993,34.039
Other Europe,1993,60.762967386331724
Total Europe,1993,265.7841673863317
Kazakhstan,1993,7.759972901410871
Russian Federation,1993,429.16816716360734
Other CIS,1993,89.30656259999999
Total CIS,1993,526.2347026650182
Iran,1993,40.283654161286734
Saudi Arabia,1993,47.8755200327219
United Arab Emirates,1993,21.728194048991355
Other Middle East,1993,43.919
Total Middle East,1993,153.806368243
Egypt,1993,26.1725
South Africa,1993,0.0
Other Africa,1993,28.961000000000006
Total Africa,1993,55.1335
Australia,1993,12.247
China,1993,3.124
India,1993,17.878
Indonesia,1993,4.317289999999999
Japan,1993,182.3239576776655
Malaysia,1993,15.459349169121326
South Korea,1993,18.922913000000005
Taiwan,1993,2.6078917219999997
Thailand,1993,27.953160000000004
Vietnam,1993,0.014
Other Asia Pacific,1993,42.14147972201522
Total Asia Pacific,1993,326.9890412908021
Canada,1994,15.437000000000001
Mexico,1994,21.380185026035598
US,1994,494.85879784946235
Total North America,1994,531.675982875498
Argentina,1994,22.719353996006127
Brazil,1994,0.4791674319220369
Other S. & Cent. America,1994,31.901897760892332
Total S. & Cent. America,1994,55.10041918882049
France,1994,3.625
Germany,1994,36.1
Italy,1994,40.404
Netherlands,1994,43.541000000000004
Poland,1994,0.147
Spain,1994,3.229
Turkey,1994,13.8223
Ukraine,1994,34.26
United Kingdom,1994,53.258
Other Europe,1994,65.10549268337223
Total Europe,1994,293.49179268337224
Kazakhstan,1994,5.35039805690517
Russian Federation,1994,363.74231404167955
Other CIS,1994,79.53657700000001
Total CIS,1994,448.6292890985847
Iran,1994,47.24839497524
Saudi Arabia,1994,50.478018557915036
United Arab Emirates,1994,23.734028242074928
Other Middle East,1994,45.809
Total Middle East,1994,167.26944177522995
Egypt,1994,29.2915
South Africa,1994,0.0
Other Africa,1994,32.81
Total Africa,1994,62.1015
Australia,1994,13.556000000000001
China,1994,3.154
India,1994,21.882
Indonesia,1994,12.333499999999999
Japan,1994,199.1195028290056
Malaysia,1994,19.446204697382317
South Korea,1994,17.912262999999992
Taiwan,1994,5.382906161999999
Thailand,1994,31.484797999999998
Vietnam,1994,0.004
Other Asia Pacific,1994,41.18868440741168
Total Asia Pacific,1994,365.4638590957996
Canada,1995,19.975483870967743
Mexico,1995,22.39776710409266
US,1995,533.3956397849462
Total North America,1995,575.7688907600066
Argentina,1995,26.500556270948653
Brazil,1995,0.5596937043269541
Other S. & Cent. America,1995,36.587969621278454
Total S. & Cent. America,1995,63.64821959655407
France,1995,3.84
Germany,1995,41.1
Italy,1995,46.442
Netherlands,1995,42.011
Poland,1995,0.258
Spain,1995,3.75
Turkey,1995,16.5793
Ukraine,1995,32.726
United Kingdom,1995,63.739000000000004
Other Europe,1995,67.19862851750203
Total Europe,1995,317.643928517502
Kazakhstan,1995,5.454308670406309
Russian Federation,1995,353.5442161089271
Other CIS,1995,76.22846120000001
Total CIS,1995,435.22698597933334
Iran,1995,46.5996388354854
Saudi Arabia,1995,49.80836290231063
United Arab Emirates,1995,24.980261268011528
Other Middle East,1995,47.64
Total Middle East,1995,169.02826300580756
Egypt,1995,30.45
South Africa,1995,0.0
Other Africa,1995,35.864000000000004
Total Africa,1995,66.314
Australia,1995,13.679
China,1995,2.999
India,1995,29.434
Indonesia,1995,20.66654
Japan,1995,201.16463298105015
Malaysia,1995,25.446500092258102
South Korea,1995,29.21781900000001
Taiwan,1995,5.844308743
Thailand,1995,33.86326225
Vietnam,1995,0.748
Other Asia Pacific,1995,44.1795588893897
Total Asia Pacific,1995,407.2426219556979
Canada,1996,18.621505376344086
Mexico,1996,21.168264880515636
US,1996,489.30707096774194
Total North America,1996,529.0968412246017
Argentina,1996,32.545495397110024
Brazil,1996,0.9741468373161114
Other S. & Cent. America,1996,37.29306631207082
Total S. & Cent. America,1996,70.81270854649696
France,1996,4.122
Germany,1996,45.56
Italy,1996,49.725
Netherlands,1996,47.075
Poland,1996,0.323
Spain,1996,6.767
Turkey,1996,17.174200000000003
Ukraine,1996,33.275
United Kingdom,1996,84.086
Other Europe,1996,76.53985231347991
Total Europe,1996,364.6470523134799
Kazakhstan,1996,4.764125812621116
Russian Federation,1996,364.11108149137914
Other CIS,1996,74.9355086
Total CIS,1996,443.8107159040003
Iran,1996,49.09434939106656
Saudi Arabia,1996,49.51864402540941
United Arab Emirates,1996,26.569994632564843
Other Middle East,1996,53.183
Total Middle East,1996,178.3659880490408
Egypt,1996,31.5135
South Africa,1996,0.0
Other Africa,1996,38.478
Total Africa,1996,69.9915
Australia,1996,11.935500000000001
China,1996,2.828
India,1996,32.024
Indonesia,1996,21.85554
Japan,1996,212.91620708761582
Malaysia,1996,32.95437387428444
South Korea,1996,34.765665000000006
Taiwan,1996,6.228967335
Thailand,1996,36.4333442
Vietnam,1996,1.097
Other Asia Pacific,1996,50.38180522981644
Total Asia Pacific,1996,443.4204027267167
Canada,1997,22.826344086021507
Mexico,1997,23.12121863535047
US,1997,515.482440860215
Total North America,1997,561.430003581587
Argentina,1997,32.1884542072109
Brazil,1997,1.177
Other S. & Cent. America,1997,40.776507094806036
Total S. & Cent. America,1997,74.14196130201694
France,1997,4.9
Germany,1997,48.1
Italy,1997,60.649
Netherlands,1997,50.661
Poland,1997,0.215
Spain,1997,18.174
Turkey,1997,22.0856
Ukraine,1997,31.017
United Kingdom,1997,110.96300000000001
Other Europe,1997,68.34399977870352
Total Europe,1997,415.10859977870354
Kazakhstan,1997,4.225722591230962
Russian Federation,1997,356.867557724436
Other CIS,1997,79.427905
Total CIS,1997,440.52118531566697
Iran,1997,58.89236653645335
Saudi Arabia,1997,52.91070986628724
United Arab Emirates,1997,28.461369495677236
Other Middle East,1997,54.439
Total Middle East,1997,194.70344589841784
Egypt,1997,32.6795
South Africa,1997,0.0
Other Africa,1997,43.165
Total Africa,1997,75.8445
Australia,1997,12.18
China,1997,8.077
India,1997,40.179
Indonesia,1997,29.61548
Japan,1997,219.67732803411434
Malaysia,1997,41.576254694603456
South Korea,1997,42.002329999999986
Taiwan,1997,8.970671327
Thailand,1997,44.573673631999995
Vietnam,1997,1.973
Other Asia Pacific,1997,59.75659707949854
Total Asia Pacific,1997,508.58133476721633
Canada,1998,26.423763440860213
Mexico,1998,30.022325098295823
US,1998,571.2441978494624
Total North America,1998,627.6902863886183
Argentina,1998,34.26260048708345
Brazil,1998,1.321
Other S. & Cent. America,1998,47.49053487021483
Total S. & Cent. America,1998,83.07413535729827
France,1998,4.9750000000000005
Germany,1998,50.743
Italy,1998,70.21300000000001
Netherlands,1998,52.126126
Poland,1998,0.313
Spain,1998,16.212
Turkey,1998,24.837500000000002
Ukraine,1998,29.197
United Kingdom,1998,117.79828819105188
Other Europe,1998,80.53616803764754
Total Europe,1998,446.9510822286993
Kazakhstan,1998,4.073196049390753
Russian Federation,1998,346.50375199621567
Other CIS,1998,76.7144842
Total CIS,1998,427.2914322456064
Iran,1998,71.75508694986712
Saudi Arabia,1998,53.60059743972192
United Arab Emirates,1998,33.38926866714697
Other Middle East,1998,54.19499999999999
Total Middle East,1998,212.93995305673602
Egypt,1998,32.529500000000006
South Africa,1998,0.0
Other Africa,1998,44.801
Total Africa,1998,77.3305
Australia,1998,14.467500000000001
China,1998,6.0920000000000005
India,1998,50.175000000000004
Indonesia,1998,31.073269999999997
Japan,1998,230.09956092131367
Malaysia,1998,44.71926656810982
South Korea,1998,27.876672
Taiwan,1998,14.283169697000002
Thailand,1998,49.02112797300001
Vietnam,1998,3.4370000000000003
Other Asia Pacific,1998,61.32415583074985
Total Asia Pacific,1998,532.5687229901735
Canada,1999,27.87462365591398
Mexico,1999,32.905169836489804
US,1999,598.275405376344
Total North America,1999,659.0551988687478
Argentina,1999,45.73213742105097
Brazil,1999,2.652865088757397
Other S. & Cent. America,1999,42.23216842745572
Total S. & Cent. America,1999,90.61717093726408
France,1999,7.7010000000000005
Germany,1999,51.8
Italy,1999,86.217
Netherlands,1999,52.58151600000001
Poland,1999,0.62
Spain,1999,19.058
Turkey,1999,36.3459
Ukraine,1999,30.254
United Kingdom,1999,142.9008686105889
Other Europe,1999,95.82068611686897
Total Europe,1999,523.2989707274578
Kazakhstan,1999,4.098077266121936
Russian Federation,1999,358.63363709294913
Other CIS,1999,78.23222460000001
Total CIS,1999,440.963938959071
Iran,1999,77.15055998470041
Saudi Arabia,1999,54.901633251632425
United Arab Emirates,1999,37.12318128242075
Other Middle East,1999,54.14600000000001
Total Middle East,1999,223.3213745187536
Egypt,1999,37.2265
South Africa,1999,0.0
Other Africa,1999,48.864000000000004
Total Africa,1999,86.0905
Australia,1999,16.123
China,1999,4.813
India,1999,59.009
Indonesia,1999,33.49757
Japan,1999,244.68681853249586
Malaysia,1999,51.1286982804424
South Korea,1999,29.912465999999984
Taiwan,1999,15.449401558
Thailand,1999,53.804434629000006
Vietnam,1999,3.596
Other Asia Pacific,1999,64.83981806625395
Total Asia Pacific,1999,576.8602070661923
Canada,2000,35.425161290322585
Mexico,2000,40.30958664504507
US,2000,646.2775903225805
Total North America,2000,722.0123382579482
Argentina,2000,48.879897099561525
Brazil,2000,4.067859799065883
Other S. & Cent. America,2000,49.30929426220564
Total S. & Cent. America,2000,102.25705116083304
France,2000,11.514000000000001
Germany,2000,49.2
Italy,2000,101.36
Netherlands,2000,52.492703999999996
Poland,2000,0.928
Spain,2000,20.178
Turkey,2000,46.2169
Ukraine,2000,29.947
United Kingdom,2000,148.076532816805
Other Europe,2000,96.54436670252935
Total Europe,2000,556.4575035193342
Kazakhstan,2000,5.518921827324
Russian Federation,2000,370.372
Other CIS,2000,80.86990939999998
Total CIS,2000,456.760831227324
Iran,2000,81.55924270441231
Saudi Arabia,2000,63.83851600263064
United Arab Emirates,2000,39.94123505763689
Other Middle East,2000,57.283
Total Middle East,2000,242.62199376467981
Egypt,2000,42.18835713463313
South Africa,2000,0.0
Other Africa,2000,49.655
Total Africa,2000,91.84335713463314
Australia,2000,16.758
China,2000,5.773
India,2000,55.964
Indonesia,2000,31.929000000000002
Japan,2000,253.76231740240033
Malaysia,2000,55.93827357750237
South Korea,2000,29.385084008138033
Taiwan,2000,17.658176208
Thailand,2000,61.094558866
Vietnam,2000,4.356
Other Asia Pacific,2000,67.53044676710125
Total Asia Pacific,2000,600.148856829142
Canada,2001,41.82709677419355
Mexico,2001,50.86083492479117
US,2001,687.2356118279569
Total North America,2001,779.9235435269416
Argentina,2001,43.25819528429559
Brazil,2001,9.921246055684456
Other S. & Cent. America,2001,58.088277591144866
Total S. & Cent. America,2001,111.2677189311249
France,2001,15.146
Germany,2001,55.5
Italy,2001,104.188
Netherlands,2001,54.408072000000004
Poland,2001,1.358
Spain,2001,23.358
Turkey,2001,49.5492
Ukraine,2001,30.357
United Kingdom,2001,141.9060541128414
Other Europe,2001,101.08753261738981
Total Europe,2001,576.8578587302312
Kazakhstan,2001,5.887643266178039
Russian Federation,2001,376.7438697248532
Other CIS,2001,89.7782674
Total CIS,2001,472.40978039103123
Iran,2001,89.50114555916454
Saudi Arabia,2001,76.6548643692313
United Arab Emirates,2001,43.16929331412104
Other Middle East,2001,60.195
Total Middle East,2001,269.5203032425169
Egypt,2001,48.47134021778585
South Africa,2001,0.0
Other Africa,2001,52.507000000000005
Total Africa,2001,100.97834021778586
Australia,2001,24.5005
China,2001,4.934
India,2001,55.934000000000005
Indonesia,2001,33.087
Japan,2001,251.74569444409542
Malaysia,2001,60.10968516200745
South Korea,2001,33.355885008090745
Taiwan,2001,20.518662906
Thailand,2001,71.22877931500001
Vietnam,2001,4.423
Other Asia Pacific,2001,79.68993787205865
Total Asia Pacific,2001,639.5271447072524
Canada,2002,38.37451612903226
Mexico,2002,69.60067029696393
US,2002,743.016929032258
Total North America,2002,850.9921154582541
Argentina,2002,40.705739914367925
Brazil,2002,12.405784913481872
Other S. & Cent. America,2002,58.161963391974055
Total S. & Cent. America,2002,111.27348821982385
France,2002,18.369
Germany,2002,56.300000000000004
Italy,2002,99.414
Netherlands,2002,55.132205000000006
Poland,2002,2.198
Spain,2002,32.386
Turkey,2002,52.496500000000005
Ukraine,2002,30.494
United Kingdom,2002,152.27748439721154
Other Europe,2002,112.9243258361304
Total Europe,2002,611.991515233342
Kazakhstan,2002,6.228615118822292
Russian Federation,2002,384.77259514050377
Other CIS,2002,90.6121606
Total CIS,2002,481.61337085932604
Iran,2002,98.04048593410373
Saudi Arabia,2002,86.5067201951245
United Arab Emirates,2002,46.85309837896254
Other Middle East,2002,60.791569
Total Middle East,2002,292.1918735081907
Egypt,2002,57.4507023837621
South Africa,2002,0.0
Other Africa,2002,58.505
Total Africa,2002,115.9557023837621
Australia,2002,30.552650000000003
China,2002,4.194
India,2002,62.885
Indonesia,2002,29.26205340518886
Japan,2002,248.64798235266449
Malaysia,2002,60.01296
South Korea,2002,42.49676231150025
Taiwan,2002,26.234255616000002
Thailand,2002,78.91024132000001
Vietnam,2002,8.334
Other Asia Pacific,2002,95.91502617495559
Total Asia Pacific,2002,687.444931180309
Canada,2003,38.32397849462365
Mexico,2003,80.58321193899243
US,2003,698.8253107526882
Total North America,2003,817.7325011863044
Argentina,2003,47.747248902313885
Brazil,2003,13.11
Other S. & Cent. America,2003,61.16406274946546
Total S. & Cent. America,2003,122.02131165177936
France,2003,19.368000000000002
Germany,2003,62.59258807499151
Italy,2003,117.301
Netherlands,2003,56.172989
Poland,2003,2.4250000000000003
Spain,2003,39.368
Turkey,2003,63.536
Ukraine,2003,34.24
United Kingdom,2003,148.8826731245491
Other Europe,2003,125.24279813282774
Total Europe,2003,669.1290483323681
Kazakhstan,2003,6.820101508010355
Russian Federation,2003,406.81996570332444
Other CIS,2003,90.80284381346559
Total CIS,2003,504.44291102480037
Iran,2003,109.8511391099521
Saudi Arabia,2003,91.36294898329803
United Arab Emirates,2003,49.44695945965418
Other Middle East,2003,62.961692000000006
Total Middle East,2003,313.6227395529043
Egypt,2003,64.0246891554745
South Africa,2003,0.0011097222399059437
Other Africa,2003,59.96000000000001
Total Africa,2003,123.9857988777144
Australia,2003,30.14735
China,2003,5.155
India,2003,72.802
Indonesia,2003,27.954166554136684
Japan,2003,269.266328860263
Malaysia,2003,60.3925
South Korea,2003,45.06684359091824
Taiwan,2003,28.361154832
Thailand,2003,85.68782651000001
Vietnam,2003,12.044
Other Asia Pacific,2003,113.99972783965572
Total Asia Pacific,2003,750.8768981869737
Canada,2004,39.950537634408605
Mexico,2004,92.37283530449376
US,2004,763.548405376344
Total North America,2004,895.8717783152464
Argentina,2004,55.20938965240033
Brazil,2004,19.26391022054043
Other S. & Cent. America,2004,64.42949754982047
Total S. & Cent. America,2004,138.9027974227612
France,2004,21.049
Germany,2004,62.66868267628198
Italy,2004,129.772
Netherlands,2004,60.498005
Poland,2004,3.225
Spain,2004,55.46
Turkey,2004,62.241800000000005
Ukraine,2004,37.524
United Kingdom,2004,157.06486700778686
Other Europe,2004,127.75265576266399
Total Europe,2004,717.2560104467328
Kazakhstan,2004,7.148721253584772
Russian Federation,2004,422.5592377860584
Other CIS,2004,99.53446329481787
Total CIS,2004,529.2424223344611
Iran,2004,114.61113006684616
Saudi Arabia,2004,98.73897340407866
United Arab Emirates,2004,52.414257463976945
Other Middle East,2004,72.447371
Total Middle East,2004,338.21173193490165
Egypt,2004,74.44771455196964
South Africa,2004,0.0033260000656510445
Other Africa,2004,66.69400000000002
Total Africa,2004,141.14504055203528
Australia,2004,27.361150000000002
China,2004,7.46
India,2004,76.577
Indonesia,2004,26.760793743736766
Japan,2004,254.10398458592115
Malaysia,2004,63.8799
South Korea,2004,62.72740370250334
Taiwan,2004,36.158744309
Thailand,2004,90.28905107700001
Vietnam,2004,19.533
Other Asia Pacific,2004,125.26752903249542
Total Asia Pacific,2004,790.1185564506567
Canada,2005,36.42903225806451
Mexico,2005,86.48043165021276
US,2005,818.2368322580644
Total North America,2005,941.1462961663416
Argentina,2005,55.699678535957304
Brazil,2005,18.81127385793515
Other S. & Cent. America,2005,64.57780194479355
Total S. & Cent. America,2005,139.08875433868602
France,2005,23.069
Germany,2005,72.19164312958303
Italy,2005,149.25900000000001
Netherlands,2005,58.207785
Poland,2005,5.165
Spain,2005,79.011
Turkey,2005,73.44489999999999
Ukraine,2005,34.157000000000004
United Kingdom,2005,152.64174212305596
Other Europe,2005,129.07814486157238
Total Europe,2005,776.2252151142112
Kazakhstan,2005,7.261796778761813
Russian Federation,2005,440.06674010989883
Other CIS,2005,101.525177260415
Total CIS,2005,548.8537141490757
Iran,2005,124.58442985175087
Saudi Arabia,2005,107.93188292579397
United Arab Emirates,2005,60.69509613832853
Other Middle East,2005,90.0708949066572
Total Middle East,2005,383.28230382253054
Egypt,2005,76.7896031689705
South Africa,2005,0.08593899630500824
Other Africa,2005,74.85069999999999
Total Africa,2005,151.7262421652755
Australia,2005,23.264400000000002
China,2005,12.142
India,2005,75.467
Indonesia,2005,21.696998033516653
Japan,2005,249.87068882090375
Malaysia,2005,63.89125
South Korea,2005,64.0625234119628
Taiwan,2005,38.915808187
Thailand,2005,94.46762246600002
Vietnam,2005,22.319
Other Asia Pacific,2005,134.53863166590256
Total Asia Pacific,2005,800.6359225852857
Canada,2006,39.762365591397845
Mexico,2006,116.05747658217322
US,2006,877.8933010752688
Total North America,2006,1033.71314324884
Argentina,2006,56.399312988413556
Brazil,2006,18.258215
Other S. & Cent. America,2006,63.083540480956536
Total S. & Cent. America,2006,137.7410684693701
France,2006,21.76
Germany,2006,74.72628431702626
Italy,2006,158.079
Netherlands,2006,57.075274
Poland,2006,4.58
Spain,2006,90.57000000000001
Turkey,2006,80.6912
Ukraine,2006,24.45
United Kingdom,2006,140.82823702306354
Other Europe,2006,136.80114113813877
Total Europe,2006,789.5611364782287
Kazakhstan,2006,8.004426858651724
Russian Federation,2006,455.2484207791563
Other CIS,2006,106.0174880905279
Total CIS,2006,569.2703357283359
Iran,2006,125.12085986059162
Saudi Arabia,2006,104.54817220260686
United Arab Emirates,2006,62.43495945965418
Other Middle East,2006,108.00084859953162
Total Middle East,2006,400.1048401223843
Egypt,2006,83.05987460641761
South Africa,2006,0.019536389983233402
Other Africa,2006,81.4584
Total Africa,2006,164.53781099640082
Australia,2006,27.2879
China,2006,23.819
India,2006,74.70422107875581
Indonesia,2006,23.948450244698208
Japan,2006,276.5795801212871
Malaysia,2006,67.388112
South Korea,2006,74.30073437366742
Taiwan,2006,40.109722067
Thailand,2006,94.43845635999999
Vietnam,2006,24.502
Other Asia Pacific,2006,137.49810212534516
Total Asia Pacific,2006,864.5762783707537
Canada,2007,42.2494623655914
Mexico,2007,128.7855429975476
US,2007,964.0750440860214
Total North America,2007,1135.1100494491604
Argentina,2007,60.17533855409158
Brazil,2007,15.496593949181264
Other S. & Cent. America,2007,64.33461526175054
Total S. & Cent. America,2007,140.00654776502338
France,2007,21.987000000000002
Germany,2007,77.45467275421194
Italy,2007,172.64600000000002
Netherlands,2007,60.888076999999996
Poland,2007,4.483
Spain,2007,94.799
Turkey,2007,95.0248
Ukraine,2007,22.448
United Kingdom,2007,165.79308325185224
Other Europe,2007,142.40414633032037
Total Europe,2007,857.9277793363842
Kazakhstan,2007,5.049662858871499
Russian Federation,2007,489.1374689203707
Other CIS,2007,107.95421333333455
