Year,Cluster,Annual COâ‚‚ emissions,Forest_land_share_land_area_%,Naturally_regenerating_forest_share_forest_land_%
1990,0,19598353830.989998,44.138333333333335,92.80991666666667
1990,1,2307761122.0699997,3.4738709677419353,66.95032258064516
1991,0,19509604280.72,44.48959016393443,92.33762295081968
1991,1,2840441619.0,3.5103225806451617,66.22225806451613
1992,0,19275695442.2,43.42029629629629,91.84177777777778
1992,1,2382263205.0,3.7819444444444446,66.19777777777777
1993,0,19434663285.37,43.08160583941606,91.6141605839416
1993,1,2420293235.0,4.633513513513513,63.99621621621622
1994,0,19611762679.86,43.06897810218978,91.56014598540146
1994,1,2436782119.0,4.668648648648648,63.604594594594595
1995,0,20114354687.17,42.9870802919708,91.50656934306569
1995,1,2432836283.0,4.703783783783783,63.2554054054054
1996,0,20727680839.2,42.90532846715328,91.45350364963502
1996,1,2481017335.0,4.738648648648649,62.93999999999999
1997,0,20909659451.7,42.823795620437956,91.40029197080293
1997,1,2388105289.0,4.773243243243243,62.650000000000006
1998,0,20669275400.97,42.784525547445256,91.34759124087591
1998,1,2468281415.0,4.808918918918919,62.3827027027027
1999,0,21141873170.010002,42.70328467153285,91.29532846715328
1999,1,2507785136.0,4.843243243243243,62.1327027027027
2000,0,21595993925.1,42.40546762589928,90.69690647482015
2000,1,2636432923.9700003,4.873783783783784,61.89621621621621
2001,0,21743301402.89,42.34438848920863,90.63179856115107
2001,1,2692039914.0299997,4.888108108108108,61.7
2002,0,22267928880.5,42.28805755395683,90.56669064748202
2002,1,2729259227.0,4.902702702702703,61.510270270270276
2003,0,23462860431.08,42.22446043165468,90.501654676259
2003,1,2855965273.0,4.917837837837838,61.326216216216224
2004,0,24216788171.059998,42.15690647482015,90.43733812949641
2004,1,2974874527.0,4.932162162162163,61.148378378378375
2005,0,25068403426.059998,42.09517985611511,90.37223021582734
2005,1,3053354550.9,4.947027027027027,60.97540540540541
2006,0,25890156820.41,42.04354609929078,90.40432624113475
2006,1,3168121177.0,4.961351351351351,60.80594594594595
2007,0,26734617763.1,41.99687943262412,90.33751773049646
2007,1,3154543870.87,4.975135135135135,60.641081081081076
2008,0,27127943045.48,41.949503546099294,90.27099290780141
2008,1,3276034042.5,4.9905405405405405,60.479729729729726
2009,0,26648021715.98,41.901489361702126,90.20439716312056
2009,1,3263862360.1,5.005135135135135,60.32189189189189
2010,0,28212841306.55,41.852056737588654,90.13787234042553
2010,1,3415373499.37,5.0200000000000005,60.16783783783784
2011,0,29341103087.42,41.78886524822695,90.08482269503546
2011,1,3379523026.0,5.040810810810811,60.13297297297297
2012,0,29684670995.1,41.29314685314685,90.14328671328671
2012,1,3526152058.0299997,5.062432432432432,60.09837837837838
2013,0,30029566128.440002,41.223846153846154,90.08174825174825
2013,1,3470434511.9,5.083783783783784,60.06216216216217
2014,0,30128483190.29,41.15909090909091,90.01643356643356
2014,1,3504447576.0,5.104864864864865,60.02513513513513
2015,0,29990518003.0,41.09811188811189,89.94867132867132
2015,1,3544554345.0299997,5.123783783783784,59.986486486486484
2016,0,29924536149.9,41.035664335664336,89.92153846153846
2016,1,3602514833.06,5.106486486486486,59.71054054054054
2017,0,30342457542.03,40.97286713286713,89.92727272727274
2017,1,3719551720.0,5.12,59.704594594594596
2018,0,31029909711.5,40.894335664335664,89.90447552447553
2018,1,3745748166.0,5.136216216216216,59.83918918918919
2019,0,31352534206.79,40.816643356643354,89.88216783216782
2019,1,3791206714.0,5.147297297297297,59.73567567567567
2020,0,29997110734.62,40.749020979020976,89.85664335664336
2020,1,3581628337.4700003,5.158108108108108,59.605405405405406
2021,0,31580912278.61,40.674055944055944,89.8316083916084
2021,1,3808549413.0,5.168648648648649,59.49945945945946
2022,0,31741794721.0,40.59909090909091,89.80615384615385
2022,1,3823679534.0,5.180810810810811,59.379999999999995
2023,0,32156930084.3,,
2023,1,3809018609.0,,
